2650	גַּ֖ם	「E70203＆even」	「H1571＆also」
7286	בְּאֵ֥ר	「E70704＆well」	「H875＆well」
9856	בְּאֵ֥ר	「E70704＆well」	「H875＆well」
10175	בְּאֵ֣ר	「E70704＆well」	「H875＆well」
10185	בְאֵ֣ר	「E70704＆well」	「H875＆well」
10203	בְאֵ֣ר	「E70704＆well」	「H875＆well」
10645	בְּאֵ֣ר	「E70704＆well」	「H875＆well」
10651	בְאֵ֥ר	「E70704＆well」	「H875＆well」
12317	בְּאֵ֥ר	「E70704＆well」	「H875＆well」
12603	בְּאֵ֥ר	「E70704＆well」	「H875＆well」
12731	פַּדַּ֖ן	「E71090＆[paddan], field?」	「H6307＆Padan」
13413	בְּאֵ֥ר	「E70704＆well」	「H875＆well」
13597	בְּאֵ֣ר	「E70704＆well」	「H875＆well」
14520	פַּדֶּ֣נָֽה	「E71090＆[paddan], field?」	「H6307＆Padan」
14579	פַּדֶּ֣נָֽה	「E71090＆[paddan], field?」	「H6307＆Padan」
14604	פַּדֶּ֣נָֽה	「E71090＆[paddan], field?」	「H6307＆Padan」
14636	פַּדֶּ֥נָֽה	「E71090＆[paddan], field?」	「H6307＆Padan」
14673	בְּאֵ֣ר	「E70704＆well」	「H875＆well」
16702	פַדַּ֣ן	「E71090＆[paddan], field?」	「H6307＆Padan」
17276	יְגַ֖ר	「E71317＆heap of stones」	「H3026＆heap｜testimony」
18413	פַּדַּ֣ן	「E71090＆[paddan], field?」	「H6307＆Padan」
19222	אַלֹּ֥ון	「E71391＆big tree」	「H437＆oak」
19233	פַּדַּ֣ן	「E71090＆[paddan], field?」	「H6307＆Padan」
19503	פַדַּ֥ן	「E71090＆[paddan], field?」	「H6307＆Padan」
26001	בְּאֵ֣רָה	「E70704＆well」	「H875＆well」
26063	בְּאֵ֣ר	「E70704＆well」	「H875＆well」
26223	פַדַּ֣ן	「E71090＆[paddan], field?」	「H6307＆Padan」
30192	מ	「E70173＆what」	「H4100＆what?」
34579	כָמֹ֖הוּ	「E70890＆like」	「H3644＆like」
90650	חַוֹּ֥ת	「E73127＆tent camp」	「H2333＆tent-village」
94111	הִ֑וא	「E70152＆she」	「H1931＆he」
94815	חַוֹּ֣ת	「E73127＆tent camp」	「H2333＆tent-village」
112262	אשׁ	「E70780＆fire」	「H784＆fire」
120849	רָמַ֥ת	「E73618＆high place」	「H7413＆height」
121876	בְאֵ֥ר	「E70704＆well」	「H875＆well」
123355	כְפַ֧ר	「E73769＆village」	「H3723＆village」
123438	בְּאֵֽר	「E70704＆well」	「H875＆well」
123586	גִּתָּ֥ה	「E73796＆wine-press」	「H1660＆wine-press」
123588	עִתָּ֣ה	「E70439＆time」	「H6256＆time」
123990	מֵ֥י	「E70019＆water」	「H4325＆waters」
129017	בֶּן	「E70235＆son」	「H1121＆his son｜son」
130048	קַּ֨מְתִּי֙	「E70283＆arise」	「H6965＆arise｜Leb Qamay」
130050	שַׁ	「E70363＆[relative]」	「H7945＆who」
130640	אֲבִ֣י	「E70188＆father」	「H1＆father」
130780	אַתָּ֖ה	「E70219＆you」	「H859＆thou｜you」
130961	אֲבִ֥י	「E70188＆father」	「H1＆father」
131739	עַל	「E70014＆upon」	「H5921＆above｜forasmuch as」
132696	עַל֙	「E70014＆upon」	「H5921＆above｜forasmuch as」
132812	אֲבִ֥י	「E70188＆father」	「H1＆father」
134162	חַוֹּ֣ת	「E73127＆tent camp」	「H2333＆tent-village」
137119	רָ֥מַת	「E73618＆high place」	「H7413＆height」
137179	עֵ֤ין	「E70200＆eye」	「H5869＆eye｜spring」
139486	בְּנֵ֥י	「E70235＆son」	「H1121＆his son｜son」
139903	בְּאֵ֣ר	「E70704＆well」	「H875＆well」
141542	רָמָתַ֛יִם	「E73618＆high place」	「H7413＆height」
142409	לו	「E70118＆not」	「H3808＆not」
143246	בְּאֵ֣ר	「E70704＆well」	「H875＆well」
144460	בֵּֽית	「E70386＆house」	「H1004＆between｜house」
144601	בֵּֽית	「E70386＆house」	「H1004＆between｜house」
145112	בְאֵ֥ר	「E70704＆well」	「H875＆well」
146020	בֶן	「E70235＆son」	「H1121＆his son｜son」
150292	בֵּֽית	「E70386＆house」	「H1004＆between｜house」
150661	בֵּ֣ית	「E70386＆house」	「H1004＆between｜house」
152155	בֵּ֥ית	「E70386＆house」	「H1004＆between｜house」
153444	לו	「E70118＆not」	「H3808＆not」
154614	קָ֔ח	「E70163＆take」	「H3947＆take」
155960	סֶ֖לַע	「E72907＆rock」	「H5553＆crag」
160105	רָמֹֽות	「E73250＆Ramoth」	「H7216＆Ramoth」
161892	בְּאֵ֥ר	「E70704＆well」	「H875＆well」
164605	מֶ֥תֶג	「E74444＆bridle」	「H4964＆bridle」
169256	בֵּ֥ית	「E70386＆house」	「H1004＆between｜house」
170034	בֶּן	「E70235＆son」	「H1121＆his son｜son」
170531	בְּאֵ֣ר	「E70704＆well」	「H875＆well」
171598	על	「E70014＆upon」	「H5921＆above｜forasmuch as」
172372	בֶּן	「E70235＆son」	「H1121＆his son｜son」
173442	בֵ֥ית	「E70386＆house」	「H1004＆between｜house」
173461	בֵּ֣ית	「E70386＆house」	「H1004＆between｜house」
174120	ישׁבו	「E74555＆Ishbi-Benob」	「H3430＆Ishbi-benob」
174216	יַעְרֵי֙	「E74563＆Jaare-oregim」	「H3296＆Jaare-oregim」
174218	בֵּ֣ית	「E70386＆house」	「H1004＆between｜house」
175462	בְּאֵ֣ר	「E70704＆well」	「H875＆well」
175572	דָּ֣נָה	「E70718＆Dan」	「H1835＆Daniel」
175595	בְּאֵ֥ר	「E70704＆well」	「H875＆well」
175798	בְּאֵ֣ר	「E70704＆well」	「H875＆well」
177465	בֶן	「E70235＆son」	「H1121＆his son｜son」
179176	בֶּן	「E70235＆son」	「H1121＆his son｜son」
179181	בֶּן	「E70235＆son」	「H1121＆his son｜son」
179191	אֵילֹ֖ון	「E73850＆Elon」	「H356＆Elon」
179193	בֶּן	「E70235＆son」	「H1121＆his son｜son」
179204	בֶּן	「E70235＆son」	「H1121＆his son｜son」
179241	בֶּן	「E70235＆son」	「H1121＆his son｜son」
179449	בְּאֵ֣ר	「E70704＆well」	「H875＆well」
