c1	In the beginning God created the heaven and the earth.
c2	And the earth was without form, and void;
c3	and darkness <i>was</i> upon the face of the deep.
c4	And the Spirit of God moved upon the face of the waters.
c5	And God said,
c6	Let there be light:
c7	and there was light.
c8	And God saw the light,
c9	that <i>it was</i> good:
c10	and God divided the light from the darkness.
c11	And God called the light Day,
c12	and the darkness he called Night.
c13	And the evening and the morning were
c15	the first day.
c16	And God said,
c17	Let there be a firmament in the midst of the waters,
c18	and let it divide the waters from the waters.
c19	And God made the firmament,
c20	and divided the waters
c21	which <i>were</i> under the firmament
c22	from the waters
c23	which <i>were</i> above the firmament:
c24	and it was so.
c25	And God called the firmament Heaven.
c26	And the evening and the morning were
c28	the second day.
c29	And God said,
c30	Let the waters under the heaven be gathered together unto one place,
c31	and let the dry <i>land</i> appear:
c32	and it was so.
c33	And God called the dry <i>land</i> Earth;
c34	and the gathering together of the waters called he Seas:
c35	and God saw
c36	that <i>it was</i> good.
c37	And God said,
c38	Let the earth bring forth grass, the herb
c39	yielding seed,
c40	<i>and</i> the fruit tree
c41	yielding fruit after his kind,
c42	whose seed
c43	<i>is</i> in itself, upon the earth:
c44	and it was so.
c45	And the earth brought forth grass, <i>and</i> herb
c46	yielding seed after his kind,
c47	and the tree
c48	yielding fruit,
c49	whose seed
c50	<i>was</i> in itself, after his kind:
c51	and God saw
c52	that <i>it was</i> good.
c53	And the evening and the morning were
c55	the third day.
c56	And God said,
c57	Let there be lights in the firmament of the heaven
c58	to divide the day from the night;
c59	and let them be for signs, and for seasons, and for days, and years:
c60	And let them be for lights in the firmament of the heaven
c61	to give light upon the earth:
c62	and it was so.
c63	And God made two great lights;
c64	the greater light to rule the day,
c65	and the lesser light to rule the night:
c66	<i>he made</i> the stars also.
c67	And God set them in the firmament of the heaven
c68	to give light upon the earth,
c69	And to rule over the day and over the night,
c70	and to divide the light from the darkness:
c71	and God saw
c72	that <i>it was</i> good.
c73	And the evening and the morning were
c75	the fourth day.
c76	And God said,
c77	Let the waters bring forth abundantly the moving creature that hath life,
c78	and fowl <i>that</i> may fly above the earth in the open firmament of heaven.
c79	And God created great whales, and every living creature
c81	that moveth,
c82	which the waters brought forth abundantly,
c83	after their kind,
c84	and every winged fowl after his kind:
c85	and God saw
c86	that <i>it was</i> good.
c87	And God blessed
c88	them, saying,
c89	Be fruitful,
c90	and multiply,
c91	and fill the waters in the seas,
c92	and let fowl multiply in the earth.
c93	And the evening and the morning were
c95	the fifth day.
c96	And God said,
c97	Let the earth bring forth the living creature after his kind,
c98	cattle, and creeping thing, and beast of the earth after his kind:
c99	and it was so.
c100	And God made the beast of the earth after his kind,
c101	and cattle after their kind,
c102	and every thing that creepeth upon the earth after his kind:
c103	and God saw
c104	that <i>it was</i> good.
c105	And God said,
c106	Let us make man in our image, after our likeness:
c107	and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing
c108	that creepeth upon the earth.
c109	So God created man in his <i>own</i> image,
c110	in the image of God created
c111	he him; male and female created he them.
c112	And God blessed
c113	them, and God said
c114	unto them, Be fruitful,
c115	and multiply,
c116	and replenish the earth,
c117	and subdue
c118	it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing
c119	that moveth upon the earth.
c120	And God said,
c121	Behold, I have given you every herb
c122	bearing seed,
c123	which <i>is</i> upon the face of all the earth,
c124	and every tree,
c125	in the which <i>is</i> the fruit of a tree
c126	yielding seed;
c127	to you it shall be for meat.
c128	And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth,
c129	wherein <i>there is</i> life,
c130	<i>I have given</i> every green herb for meat:
c131	and it was so.
c132	And God saw every thing
c133	that he had made,
c134	and, behold, <i>it was</i> very good.
c135	And the evening and the morning were
c137	the sixth day.
c138	Thus the heavens and the earth were finished, and all the host of them.
c139	And on the seventh day God ended his work
c140	which he had made;
c141	and he rested on the seventh day from all his work
c142	which he had made.
c143	And God blessed the seventh day,
c144	and sanctified
c145	it: because that in it he had rested from all his work
c146	which God created
c147	and made.
c148	These <i>are</i> the generations of the heavens and of the earth
c149	when they were created,
c150	in the day
c151	that the LORD God made the earth and the heavens,
c152	And every plant of the field before it was in the earth,
c153	and every herb of the field before it grew:
c154	for the LORD God had not caused it to rain upon the earth,
c155	and <i>there was</i> not a man
c156	to till the ground.
c157	But there went up a mist from the earth,
c158	and watered the whole face of the ground.
c159	And the LORD God formed man <i>of</i> the dust of the ground,
c160	and breathed into his nostrils the breath of life;
c161	and man became a living soul.
c162	And the LORD God planted a garden eastward in Eden;
c163	and there he put the man
c164	whom he had formed.
c165	And out of the ground made the LORD God to grow every tree
c166	that is pleasant to the sight,
c167	and good for food;
c168	the tree of life also in the midst of the garden,
c169	and the tree of knowledge of good and evil.
c170	And a river went out of Eden
c171	to water the garden;
c172	and from thence it was parted,
c173	and became into four heads.
c174	The name of the first <i>is</i> Pison:
c175	that <i>is</i> it
c176	which compasseth the whole land of Havilah,
c177	where <i>there is</i> gold;
c178	And the gold of that land <i>is</i> good:
c179	there <i>is</i> bdellium and the onyx stone.
c180	And the name of the second river <i>is</i> Gihon:
c181	the same
c182	<i>is</i> it that compasseth the whole land of Ethiopia.
c183	And the name of the third river <i>is</i> Hiddekel:
c184	that <i>is</i> it
c185	which goeth toward the east of Assyria.
c186	And the fourth river
c187	<i>is</i> Euphrates.
c188	And the LORD God took the man,
c189	and put him into the garden of Eden
c190	to dress
c191	it and to keep it.
c192	And the LORD God commanded the man,
c193	saying,
c194	Of every tree of the garden thou mayest freely eat:
c195	But of the tree of the knowledge of good and evil,
c196	thou shalt not eat of
c197	it: for in the day
c198	that thou eatest thereof
c199	thou shalt surely die.
c200	And the LORD God said,
c201	<i>It is</i> not good
c202	that the man should be alone;
c203	I will make him an help meet for him.
c204	And out of the ground the LORD God formed every beast of the field, and every fowl of the air;
c205	and brought <i>them</i> unto Adam
c206	to see
c207	what he would call them:
c208	and whatsoever
c209	Adam called every living creature,
c210	that <i>was</i> the name thereof.
c211	And Adam gave names to all cattle, and to the fowl of the air, and to every beast of the field;
c212	but for Adam there was not found an help meet for him.
c213	And the LORD God caused a deep sleep to fall upon Adam,
c214	and he slept:
c215	and he took one of his ribs,
c216	and closed up the flesh instead thereof;
c217	And the rib, which the LORD God had taken from man, made
c219	he a woman,
c220	and brought her unto the man.
c221	And Adam said,
c222	This <i>is</i> now bone of my bones, and flesh of my flesh:
c223	she shall be called Woman,
c224	because she was taken out of Man.
c225	Therefore shall a man leave his father and his mother,
c226	and shall cleave unto his wife:
c227	and they shall be one flesh.
c228	And they were both naked, the man and his wife,
c229	and were not ashamed.
c230	Now the serpent was more subtil than any beast of the field
c231	which the LORD God had made.
c232	And he said unto the woman,
c233	Yea, hath God said,
c234	Ye shall not eat of every tree of the garden?
c235	And the woman said unto the serpent,
c236	We may eat of the fruit of the trees of the garden:
c237	But of the fruit of the tree
c238	which <i>is</i> in the midst of the garden,
c239	God hath said,
c240	Ye shall not eat of
c241	it, neither shall ye touch
c242	it, lest ye die.
c243	And the serpent said unto the woman,
c244	Ye shall not surely die:
c245	For God doth know
c246	that in the day
c247	ye eat thereof,
c248	then your eyes shall be opened,
c249	and ye shall be as gods,
c250	knowing good and evil.
c251	And when the woman saw
c252	that the tree <i>was</i> good for food,
c253	and that it <i>was</i> pleasant to the eyes,
c254	and a tree to be desired
c255	to make <i>one</i> wise,
c256	she took of the fruit
c257	thereof, and did eat,
c258	and gave also unto her husband with
c259	her; and he did eat.
c260	And the eyes of them both were opened,
c261	and they knew
c262	that they <i>were</i> naked;
c263	and they sewed fig leaves
c264	together, and made themselves aprons.
c265	And they heard the voice of the LORD God
c266	walking in the garden in the cool of the day:
c267	and Adam and his wife hid themselves from the presence of the LORD God amongst the trees of the garden.
c268	And the LORD God called unto Adam,
c269	and said
c270	unto him, Where <i>art</i> thou?
c271	And he said,
c272	I heard thy voice in the garden,
c273	and I was afraid,
c274	because I <i>was</i> naked;
c275	and I hid myself.
c276	And he said,
c277	Who told
c278	thee that thou <i>wast</i> naked?
c280	whereof I commanded thee that thou shouldest not
c281	Hast thou eaten of the tree,
c282	eat?
c283	And the man said,
c284	The woman
c285	whom thou gavest <i>to be</i> with
c286	me, she gave me of the tree,
c287	and I did eat.
c288	And the LORD God said unto the woman,
c289	What <i>is</i> this <i>that</i> thou hast done?
c290	And the woman said,
c291	The serpent beguiled
c292	me, and I did eat.
c293	And the LORD God said unto the serpent,
c294	Because thou hast done this,
c295	thou <i>art</i> cursed above all cattle, and above every beast of the field;
c296	upon thy belly shalt thou go,
c297	and dust shalt thou eat all the days of thy life:
c298	And I will put enmity between thee and the woman, and between thy seed and her seed;
c299	it shall bruise thy head,
c300	and thou shalt bruise his heel.
c301	Unto the woman he said,
c302	I will greatly multiply thy sorrow and thy conception;
c303	in sorrow thou shalt bring forth children;
c304	and thy desire <i>shall be</i> to thy husband,
c305	and he shall rule over thee.
c306	And unto Adam he said,
c307	Because thou hast hearkened unto the voice of thy wife,
