H0001	<heb>אָב</heb> [H:N-M]<br>father<hr><p><b>1)</b> father of an individual<br><b>2)</b> of God as father of his people<br><b>3)</b> head or founder of a household, group, family, or clan<br><b>4)</b> ancestor<br><b>4a)</b> grandfather, forefathers - of person<br><b>4b)</b> of people<br><b>5)</b> originator or patron of a class, profession, or art<br><b>6)</b> of producer, generator (fig.)<br><b>7)</b> of benevolence and protection (fig.)<br><b>8)</b> term of respect and honour<br><b>9)</b> ruler or chief (spec.)</p>
H0002	<heb>אַב</heb> [A:N-M]<br>father<hr><p><b>1)</b> father</p>
H0003	<heb>אֵב</heb> [H:N-M]<br>greenery<hr><p><b>1)</b> freshness, fresh green, green shoots, or greenery</p>
H0004	<heb>אֵב</heb> [A:N-M]<br>fruit<hr><p><b>1)</b> fruit, fresh, young, greening</p>
H0005	<heb>אֲבַגְתָא</heb> [N:N-M-P]<br>Abagtha<hr><p>Abagtha = "God-given"<br><b>1)</b> one of the seven eunuchs in the Persian court of Ahasuerus</p>
H0006	<heb>אָבַד</heb> [H:V]<br>to perish<hr><p><b>1)</b> perish, vanish, go astray, be destroyed<br><b>1a)</b> (Qal)<br><b>1a1)</b> perish, die, be exterminated<br><b>1a2)</b> perish, vanish (fig.)<br><b>1a3)</b> be lost, strayed<br><b>1b)</b> (Piel)<br><b>1b1)</b> to destroy, kill, cause to perish, to give up (as lost), exterminate<br><b>1b2)</b> to blot out, do away with, cause to vanish, (fig.)<br><b>1b3)</b> cause to stray, lose<br><b>1c)</b> (Hiphil)<br><b>1c1)</b> to destroy, put to death<br><b>1c1a)</b> of divine judgment<br><b>1c2)</b> object name of kings (fig.)</p>
H0007	<heb>אֲבַד</heb> [A:V]<br>to destroy<hr><p><b>1)</b> to perish, vanish<br><b>1a)</b> (P'al) shall perish<br><b>1b)</b> (Aphel) destroy<br><b>1c)</b> (Hophal) be destroyed</p>
H0008	<heb>אֹבֵד</heb> [H:N-M]<br>destruction<hr><p><b>1)</b> destruction</p>
H0009	<heb>אֲבֵדָה</heb> [H:N-F]<br>something lost<hr><p><b>1)</b> a lost thing, something lost</p>
H0010	<heb>אֲבַדּוֹן</heb> [H:N-F]<br>destruction<hr><p><b>1)</b>  a perishing</p>
