〔Book〕	〔KJVbook｜KJVchapter｜KJVverse〕	〔BHSbook｜BHSchapter｜BHSverse〕
1	〔1｜31｜55〕	〔1｜32｜1〕
1	〔1｜32｜10〕	〔1｜32｜11〕
1	〔1｜32｜11〕	〔1｜32｜12〕
1	〔1｜32｜12〕	〔1｜32｜13〕
1	〔1｜32｜13〕	〔1｜32｜14〕
1	〔1｜32｜14〕	〔1｜32｜15〕
1	〔1｜32｜15〕	〔1｜32｜16〕
1	〔1｜32｜16〕	〔1｜32｜17〕
1	〔1｜32｜17〕	〔1｜32｜18〕
1	〔1｜32｜18〕	〔1｜32｜19〕
1	〔1｜32｜19〕	〔1｜32｜20〕
1	〔1｜32｜1〕	〔1｜32｜2〕
1	〔1｜32｜20〕	〔1｜32｜21〕
1	〔1｜32｜21〕	〔1｜32｜22〕
1	〔1｜32｜22〕	〔1｜32｜23〕
1	〔1｜32｜23〕	〔1｜32｜24〕
1	〔1｜32｜24〕	〔1｜32｜25〕
1	〔1｜32｜25〕	〔1｜32｜26〕
1	〔1｜32｜26〕	〔1｜32｜27〕
1	〔1｜32｜27〕	〔1｜32｜28〕
1	〔1｜32｜28〕	〔1｜32｜29〕
1	〔1｜32｜29〕	〔1｜32｜30〕
1	〔1｜32｜2〕	〔1｜32｜3〕
1	〔1｜32｜30〕	〔1｜32｜31〕
1	〔1｜32｜31〕	〔1｜32｜32〕
1	〔1｜32｜32〕	〔1｜32｜33〕
1	〔1｜32｜3〕	〔1｜32｜4〕
1	〔1｜32｜4〕	〔1｜32｜5〕
1	〔1｜32｜5〕	〔1｜32｜6〕
1	〔1｜32｜6〕	〔1｜32｜7〕
1	〔1｜32｜7〕	〔1｜32｜8〕
1	〔1｜32｜8〕	〔1｜32｜9〕
1	〔1｜32｜9〕	〔1｜32｜10〕
10	〔10｜18｜33〕	〔10｜19｜1〕
10	〔10｜19｜10〕	〔10｜19｜11〕
10	〔10｜19｜11〕	〔10｜19｜12〕
10	〔10｜19｜12〕	〔10｜19｜13〕
10	〔10｜19｜13〕	〔10｜19｜14〕
10	〔10｜19｜14〕	〔10｜19｜15〕
10	〔10｜19｜15〕	〔10｜19｜16〕
10	〔10｜19｜16〕	〔10｜19｜17〕
10	〔10｜19｜17〕	〔10｜19｜18〕
10	〔10｜19｜18〕	〔10｜19｜19〕
10	〔10｜19｜19〕	〔10｜19｜20〕
10	〔10｜19｜1〕	〔10｜19｜2〕
10	〔10｜19｜20〕	〔10｜19｜21〕
10	〔10｜19｜21〕	〔10｜19｜22〕
10	〔10｜19｜22〕	〔10｜19｜23〕
10	〔10｜19｜23〕	〔10｜19｜24〕
10	〔10｜19｜24〕	〔10｜19｜25〕
10	〔10｜19｜25〕	〔10｜19｜26〕
10	〔10｜19｜26〕	〔10｜19｜27〕
10	〔10｜19｜27〕	〔10｜19｜28〕
10	〔10｜19｜28〕	〔10｜19｜29〕
10	〔10｜19｜29〕	〔10｜19｜30〕
10	〔10｜19｜2〕	〔10｜19｜3〕
10	〔10｜19｜30〕	〔10｜19｜31〕
10	〔10｜19｜31〕	〔10｜19｜32〕
10	〔10｜19｜32〕	〔10｜19｜33〕
10	〔10｜19｜33〕	〔10｜19｜34〕
10	〔10｜19｜34〕	〔10｜19｜35〕
10	〔10｜19｜35〕	〔10｜19｜36〕
10	〔10｜19｜36〕	〔10｜19｜37〕
10	〔10｜19｜37〕	〔10｜19｜38〕
10	〔10｜19｜38〕	〔10｜19｜39〕
10	〔10｜19｜39〕	〔10｜19｜40〕
10	〔10｜19｜3〕	〔10｜19｜4〕
10	〔10｜19｜40〕	〔10｜19｜41〕
10	〔10｜19｜41〕	〔10｜19｜42〕
10	〔10｜19｜42〕	〔10｜19｜43〕
10	〔10｜19｜43〕	〔10｜19｜44〕
10	〔10｜19｜4〕	〔10｜19｜5〕
10	〔10｜19｜5〕	〔10｜19｜6〕
10	〔10｜19｜6〕	〔10｜19｜7〕
10	〔10｜19｜7〕	〔10｜19｜8〕
10	〔10｜19｜8〕	〔10｜19｜9〕
10	〔10｜19｜9〕	〔10｜19｜10〕
11	〔11｜18｜33〕	〔11｜18｜33〕
11	〔11｜18｜33〕	〔11｜18｜34〕
11	〔11｜18｜34〕	〔11｜18｜34〕
11	〔11｜20｜2〕	〔11｜20｜2〕
11	〔11｜20｜2〕	〔11｜20｜3〕
11	〔11｜20｜3〕	〔11｜20｜3〕
11	〔11｜22｜21〕	〔11｜22｜21〕
11	〔11｜22｜22〕	〔11｜22｜21〕
11	〔11｜22｜22〕	〔11｜22｜22〕
11	〔11｜22｜43〕	〔11｜22｜43〕
11	〔11｜22｜43〕	〔11｜22｜44〕
11	〔11｜22｜44〕	〔11｜22｜45〕
11	〔11｜22｜45〕	〔11｜22｜46〕
11	〔11｜22｜46〕	〔11｜22｜47〕
11	〔11｜22｜47〕	〔11｜22｜48〕
11	〔11｜22｜48〕	〔11｜22｜49〕
11	〔11｜22｜49〕	〔11｜22｜50〕
11	〔11｜22｜50〕	〔11｜22｜51〕
11	〔11｜22｜51〕	〔11｜22｜52〕
11	〔11｜22｜52〕	〔11｜22｜53〕
11	〔11｜22｜53〕	〔11｜22｜54〕
11	〔11｜4｜21〕	〔11｜5｜1〕
11	〔11｜4｜22〕	〔11｜5｜2〕
11	〔11｜4｜23〕	〔11｜5｜3〕
11	〔11｜4｜24〕	〔11｜5｜4〕
11	〔11｜4｜25〕	〔11｜5｜5〕
11	〔11｜4｜26〕	〔11｜5｜6〕
11	〔11｜4｜27〕	〔11｜5｜7〕
11	〔11｜4｜28〕	〔11｜5｜8〕
11	〔11｜4｜29〕	〔11｜5｜9〕
11	〔11｜4｜30〕	〔11｜5｜10〕
11	〔11｜4｜31〕	〔11｜5｜11〕
11	〔11｜4｜32〕	〔11｜5｜12〕
11	〔11｜4｜33〕	〔11｜5｜13〕
11	〔11｜4｜34〕	〔11｜5｜14〕
