〔KJVverseSort｜KJVbook｜KJVchapter｜KJVverse〕	〔BHSverseSort｜BHSbook｜BHSchapter｜BHSverse〕
〔1｜1｜1｜1〕	〔1｜1｜1｜1〕
〔2｜1｜1｜2〕	〔2｜1｜1｜2〕
〔3｜1｜1｜3〕	〔3｜1｜1｜3〕
〔4｜1｜1｜4〕	〔4｜1｜1｜4〕
〔5｜1｜1｜5〕	〔5｜1｜1｜5〕
〔6｜1｜1｜6〕	〔6｜1｜1｜6〕
〔7｜1｜1｜7〕	〔7｜1｜1｜7〕
〔8｜1｜1｜8〕	〔8｜1｜1｜8〕
〔9｜1｜1｜9〕	〔9｜1｜1｜9〕
〔10｜1｜1｜10〕	〔10｜1｜1｜10〕
〔11｜1｜1｜11〕	〔11｜1｜1｜11〕
〔12｜1｜1｜12〕	〔12｜1｜1｜12〕
〔13｜1｜1｜13〕	〔13｜1｜1｜13〕
〔14｜1｜1｜14〕	〔14｜1｜1｜14〕
〔15｜1｜1｜15〕	〔15｜1｜1｜15〕
〔16｜1｜1｜16〕	〔16｜1｜1｜16〕
〔17｜1｜1｜17〕	〔17｜1｜1｜17〕
〔18｜1｜1｜18〕	〔18｜1｜1｜18〕
〔19｜1｜1｜19〕	〔19｜1｜1｜19〕
〔20｜1｜1｜20〕	〔20｜1｜1｜20〕
〔21｜1｜1｜21〕	〔21｜1｜1｜21〕
〔22｜1｜1｜22〕	〔22｜1｜1｜22〕
〔23｜1｜1｜23〕	〔23｜1｜1｜23〕
〔24｜1｜1｜24〕	〔24｜1｜1｜24〕
〔25｜1｜1｜25〕	〔25｜1｜1｜25〕
〔26｜1｜1｜26〕	〔26｜1｜1｜26〕
〔27｜1｜1｜27〕	〔27｜1｜1｜27〕
〔28｜1｜1｜28〕	〔28｜1｜1｜28〕
〔29｜1｜1｜29〕	〔29｜1｜1｜29〕
〔30｜1｜1｜30〕	〔30｜1｜1｜30〕
〔31｜1｜1｜31〕	〔31｜1｜1｜31〕
〔32｜1｜2｜1〕	〔32｜1｜2｜1〕
〔33｜1｜2｜2〕	〔33｜1｜2｜2〕
〔34｜1｜2｜3〕	〔34｜1｜2｜3〕
〔35｜1｜2｜4〕	〔35｜1｜2｜4〕
〔36｜1｜2｜5〕	〔36｜1｜2｜5〕
〔37｜1｜2｜6〕	〔37｜1｜2｜6〕
〔38｜1｜2｜7〕	〔38｜1｜2｜7〕
〔39｜1｜2｜8〕	〔39｜1｜2｜8〕
〔40｜1｜2｜9〕	〔40｜1｜2｜9〕
〔41｜1｜2｜10〕	〔41｜1｜2｜10〕
〔42｜1｜2｜11〕	〔42｜1｜2｜11〕
〔43｜1｜2｜12〕	〔43｜1｜2｜12〕
〔44｜1｜2｜13〕	〔44｜1｜2｜13〕
〔45｜1｜2｜14〕	〔45｜1｜2｜14〕
〔46｜1｜2｜15〕	〔46｜1｜2｜15〕
〔47｜1｜2｜16〕	〔47｜1｜2｜16〕
〔48｜1｜2｜17〕	〔48｜1｜2｜17〕
〔49｜1｜2｜18〕	〔49｜1｜2｜18〕
〔50｜1｜2｜19〕	〔50｜1｜2｜19〕
〔51｜1｜2｜20〕	〔51｜1｜2｜20〕
〔52｜1｜2｜21〕	〔52｜1｜2｜21〕
〔53｜1｜2｜22〕	〔53｜1｜2｜22〕
〔54｜1｜2｜23〕	〔54｜1｜2｜23〕
〔55｜1｜2｜24〕	〔55｜1｜2｜24〕
〔56｜1｜2｜25〕	〔56｜1｜2｜25〕
〔57｜1｜3｜1〕	〔57｜1｜3｜1〕
〔58｜1｜3｜2〕	〔58｜1｜3｜2〕
〔59｜1｜3｜3〕	〔59｜1｜3｜3〕
〔60｜1｜3｜4〕	〔60｜1｜3｜4〕
〔61｜1｜3｜5〕	〔61｜1｜3｜5〕
〔62｜1｜3｜6〕	〔62｜1｜3｜6〕
〔63｜1｜3｜7〕	〔63｜1｜3｜7〕
〔64｜1｜3｜8〕	〔64｜1｜3｜8〕
〔65｜1｜3｜9〕	〔65｜1｜3｜9〕
〔66｜1｜3｜10〕	〔66｜1｜3｜10〕
〔67｜1｜3｜11〕	〔67｜1｜3｜11〕
〔68｜1｜3｜12〕	〔68｜1｜3｜12〕
〔69｜1｜3｜13〕	〔69｜1｜3｜13〕
〔70｜1｜3｜14〕	〔70｜1｜3｜14〕
